# Time  u_x_TE  u_y_TE v_x_wake v_y_wake
1.0000000000e-01 1.9988778927e-06 4.2905341508e-06 4.0644354851e-04 -1.2213547071e-06
2.0000000000e-01 9.2765550982e-06 2.1053090702e-05 1.6151092397e-03 -5.1566714047e-06
3.0000000000e-01 2.3147185599e-05 5.6176618103e-05 3.5950385698e-03 -1.2339706415e-05
4.0000000000e-01 4.2761087141e-05 1.1161350046e-04 6.2964795695e-03 -2.3282005217e-05
5.0000000000e-01 6.6024570793e-05 1.8577112427e-04 9.6520264219e-03 -3.8423672256e-05
6.0000000000e-01 9.0647855862e-05 2.7468564256e-04 1.3578162206e-02 -5.8050075346e-05
7.0000000000e-01 1.1480962153e-04 3.7312353880e-04 1.7977176957e-02 -8.2227341618e-05
8.0000000000e-01 1.3735347477e-04 4.7535615543e-04 2.2739440885e-02 -1.1075656428e-04
9.0000000000e-01 1.5766088925e-04 5.7566313129e-04 2.7746005403e-02 -1.4315162984e-04
1.0000000000e+00 1.7539589838e-04 6.6867909008e-04 3.2871485604e-02 -1.7865655228e-04
1.1000000000e+00 1.9027272687e-04 7.4966881781e-04 3.7987154341e-02 -2.1631158587e-04
1.2000000000e+00 2.0192440393e-04 8.1478238885e-04 4.2964158504e-02 -2.5506084519e-04
1.3000000000e+00 2.0988448535e-04 8.6130974596e-04 4.7676758288e-02 -2.9388711673e-04
1.4000000000e+00 2.1365115361e-04 8.8791725080e-04 5.2005492852e-02 -3.3196496865e-04
1.5000000000e+00 2.1278635474e-04 8.9481731266e-04 5.5840190587e-02 -3.6882751808e-04
1.6000000000e+00 2.0700705828e-04 8.8381449666e-04 5.9082763956e-02 -4.0453741308e-04
1.7000000000e+00 1.9624169893e-04 8.5819324886e-04 6.1649747343e-02 -4.3984002716e-04
1.8000000000e+00 1.8064288171e-04 8.2245253126e-04 6.3474542463e-02 -4.7625799423e-04
1.9000000000e+00 1.6056107977e-04 7.8193312324e-04 6.4509323806e-02 -5.1606631021e-04
2.0000000000e+00 1.3660982334e-04 7.0647620053e-04 6.5238141429e-02 -1.9927155910e-04
2.0075000000e+00 1.2051002721e-04 6.5193473054e-04 6.4910113939e-02 -5.4415567787e-04
2.0150000000e+00 1.0398057739e-04 5.9235488939e-04 6.5226842903e-02 -2.5559083298e-04
2.0225000000e+00 8.9268952491e-05 5.4397698373e-04 6.4891033745e-02 -5.7859337758e-04
2.0300000000e+00 7.5329981483e-05 4.9265207540e-04 6.5199176892e-02 -2.9812650273e-04
2.0375000000e+00 6.3666600158e-05 4.4969614708e-04 6.4866982298e-02 -5.9413525048e-04
2.0450000000e+00 5.0285656571e-05 4.0529391620e-04 6.5166871869e-02 -3.3693354414e-04
2.0525000000e+00 4.3459912481e-05 3.6524186003e-04 6.4853138960e-02 -6.2913029250e-04
2.0600000000e+00 3.3981354492e-05 3.2706029355e-04 6.5119218562e-02 -3.4996001144e-04
2.0675000000e+00 2.7122866049e-05 2.9239117140e-04 6.4812998347e-02 -6.5524020226e-04
2.0750000000e+00 1.8617587337e-05 2.5202510683e-04 6.5073436432e-02 -3.7780590431e-04
2.0825000000e+00 1.0908241488e-05 2.1600513527e-04 6.4764984428e-02 -6.7881894939e-04
2.0900000000e+00 6.3612065682e-06 1.8143366574e-04 6.5022683369e-02 -4.0057536601e-04
2.0975000000e+00 8.8462058829e-07 1.5329290399e-04 6.4713829319e-02 -6.9379231993e-04
2.1050000000e+00 -2.1772628208e-06 1.2172043196e-04 6.4974770794e-02 -4.3079406595e-04
2.1125000000e+00 -8.5845695371e-06 9.0336774205e-05 6.4669498369e-02 -7.1135704335e-04
2.1200000000e+00 -1.3074764030e-05 5.9213237483e-05 6.4921125677e-02 -4.5468969727e-04
2.1275000000e+00 -1.5888145904e-05 3.5065929975e-05 6.4628522354e-02 -7.2525753683e-04
2.1350000000e+00 -1.9118910996e-05 1.1336082218e-05 6.4871081022e-02 -4.7022928420e-04
2.1425000000e+00 -2.1089701821e-05 -1.3838493077e-05 6.4598097170e-02 -7.4320568970e-04
2.1500000000e+00 -2.6237983531e-05 -3.6623750362e-05 6.4810020693e-02 -4.7813549141e-04
2.1575000000e+00 -2.5554616472e-05 -5.3449397195e-05 6.4563088947e-02 -7.5321776577e-04
2.1650000000e+00 -2.8165017404e-05 -7.2579008406e-05 6.4761575649e-02 -4.9281463292e-04
2.1725000000e+00 -2.9455209380e-05 -8.9123485705e-05 6.4522467779e-02 -7.5998899147e-04
2.1800000000e+00 -2.7807149408e-05 -1.0055846760e-04 6.4721264809e-02 -5.0328109235e-04
2.1875000000e+00 -2.9094247470e-05 -1.1302683523e-04 6.4483634439e-02 -7.6284203571e-04
2.1950000000e+00 -2.9127177021e-05 -1.2671652871e-04 6.4682767050e-02 -5.2558642390e-04
2.2025000000e+00 -2.8431486864e-05 -1.3272595947e-04 6.4449365175e-02 -7.6458813583e-04
2.2100000000e+00 -2.6330923990e-05 -1.3991494765e-04 6.4651265606e-02 -5.3647380902e-04
2.2175000000e+00 -2.6798662119e-05 -1.4847702948e-04 6.4423931116e-02 -7.7887843947e-04
2.2250000000e+00 -2.6298617359e-05 -1.5600556853e-04 6.4617180023e-02 -5.4527131434e-04
2.2325000000e+00 -2.4797626739e-05 -1.6195120088e-04 6.4404078739e-02 -7.9307601833e-04
2.2400000000e+00 -2.5626164338e-05 -1.6923612719e-04 6.4578921450e-02 -5.5250663219e-04
2.2475000000e+00 -2.4053084894e-05 -1.7402391912e-04 6.4383880213e-02 -8.0815059879e-04
2.2550000000e+00 -2.2008813698e-05 -1.7723643993e-04 6.4545620927e-02 -5.6167980989e-04
2.2625000000e+00 -2.1595201167e-05 -1.8008690992e-04 6.4351356275e-02 -8.1422911113e-04
2.2700000000e+00 -1.9610907870e-05 -1.8421018680e-04 6.4515148316e-02 -5.8162476456e-04
2.2775000000e+00 -1.8390783764e-05 -1.8522563190e-04 6.4319179591e-02 -8.1643300593e-04
2.2850000000e+00 -1.6339517658e-05 -1.8634155989e-04 6.4479495021e-02 -6.0059567089e-04
2.2925000000e+00 -1.3872111050e-05 -1.8674075620e-04 6.4294282985e-02 -8.2476425570e-04
2.3000000000e+00 -1.1660965773e-05 -1.8367035795e-04 6.4436549140e-02 -6.1108101184e-04
2.3075000000e+00 -8.4605184562e-06 -1.8225650247e-04 6.4273109778e-02 -8.3874372409e-04
2.3150000000e+00 -6.3220429658e-06 -1.7836025935e-04 6.4394050219e-02 -6.2021972969e-04
2.3225000000e+00 -2.3569846966e-06 -1.7216114630e-04 6.4246701810e-02 -8.5022185731e-04
2.3300000000e+00 1.2985758972e-06 -1.6540616059e-04 6.4357933102e-02 -6.2804922560e-04
2.3375000000e+00 5.3942930313e-06 -1.5545776172e-04 6.4215055273e-02 -8.6150480632e-04
2.3450000000e+00 9.8051075013e-06 -1.4777271525e-04 6.4324634834e-02 -6.3951576387e-04
2.3525000000e+00 1.2396736053e-05 -1.3776400459e-04 6.4180159733e-02 -8.6644062899e-04
2.3600000000e+00 1.8034987059e-05 -1.2756410747e-04 6.4293904490e-02 -6.5782005500e-04
2.3675000000e+00 2.0210250849e-05 -1.1749924001e-04 6.4147570182e-02 -8.7178102709e-04
2.3750000000e+00 2.4191527275e-05 -1.0742457235e-04 6.4258479557e-02 -6.7342592518e-04
2.3825000000e+00 2.7574811396e-05 -9.7289998933e-05 6.4126233587e-02 -8.8308671107e-04
2.3900000000e+00 2.8973549944e-05 -8.8092427095e-05 6.4216286793e-02 -6.8757487273e-04
2.3975000000e+00 3.2088715249e-05 -7.9071706990e-05 6.4110227395e-02 -8.9900374138e-04
2.4050000000e+00 3.3300900980e-05 -6.9540115913e-05 6.4177945823e-02 -6.9990837895e-04
2.4125000000e+00 3.4838068468e-05 -6.1689045294e-05 6.4091536483e-02 -9.1525545548e-04
2.4200000000e+00 3.5787230854e-05 -5.2970541677e-05 6.4146299707e-02 -7.1788419999e-04
2.4275000000e+00 3.6321847018e-05 -4.4936468898e-05 6.4068438430e-02 -9.2578366914e-04
2.4350000000e+00 3.6912279899e-05 -3.6899778788e-05 6.4117956733e-02 -7.3999167559e-04
2.4425000000e+00 3.6350556389e-05 -2.9079594867e-05 6.4043756934e-02 -9.3742524723e-04
2.4500000000e+00 3.6893295010e-05 -2.1369320999e-05 6.4092681138e-02 -7.6090680796e-04
2.4575000000e+00 3.5887456658e-05 -1.2747456857e-05 6.4017650546e-02 -9.5039818201e-04
2.4650000000e+00 3.5180879566e-05 -6.4746378431e-06 6.4068000006e-02 -7.8218243347e-04
2.4725000000e+00 3.4509821509e-05 2.5328754679e-06 6.3993432189e-02 -9.6763120265e-04
2.4800000000e+00 3.3065027280e-05 1.0153597938e-05 6.4041343586e-02 -7.9806187393e-04
2.4875000000e+00 3.2184980877e-05 1.8128670948e-05 6.3972593096e-02 -9.9107643103e-04
2.4950000000e+00 3.1062810556e-05 2.7962660372e-05 6.4015076453e-02 -8.1205913916e-04
2.5025000000e+00 2.9005692183e-05 3.5146699180e-05 6.3949596452e-02 -1.0140060802e-03
2.5100000000e+00 2.8423506331e-05 4.5245745438e-05 6.3992930588e-02 -8.3127782880e-04
2.5175000000e+00 2.5792721341e-05 5.4036408646e-05 6.3923422428e-02 -1.0306997012e-03
2.5250000000e+00 2.4799060144e-05 6.2552930371e-05 6.3972183599e-02 -8.5836732958e-04
2.5325000000e+00 2.2778806691e-05 7.3384792889e-05 6.3898532447e-02 -1.0431164963e-03
2.5400000000e+00 2.0635536820e-05 8.1292452388e-05 6.3947152801e-02 -8.8647183737e-04
2.5475000000e+00 1.9031852504e-05 9.1669686851e-05 6.3878196602e-02 -1.0600845425e-03
2.5550000000e+00 1.6374607192e-05 1.0117489813e-04 6.3917642771e-02 -9.0985394982e-04
2.5625000000e+00 1.4908443614e-05 1.1055818237e-04 6.3860757705e-02 -1.0826398193e-03
2.5700000000e+00 1.2080903269e-05 1.2147129682e-04 6.3887616917e-02 -9.3078694318e-04
2.5775000000e+00 1.0446151571e-05 1.3086044946e-04 6.3841045340e-02 -1.1074858669e-03
2.5850000000e+00 7.9193258379e-06 1.4175969831e-04 6.3863863412e-02 -9.5214978300e-04
2.5925000000e+00 5.2857458863e-06 1.5160746983e-04 6.3813822659e-02 -1.1327310973e-03
2.6000000000e+00 3.6748870579e-06 1.6238461792e-04 6.3847593040e-02 -9.7576527409e-04
2.6075000000e+00 4.6196472528e-07 1.7348407722e-04 6.3782274895e-02 -1.1551662351e-03
2.6150000000e+00 -1.2209021012e-06 1.8327385216e-04 6.3833018470e-02 -1.0041592205e-03
2.6225000000e+00 -4.3129009307e-06 1.9478983135e-04 6.3752860531e-02 -1.1762073715e-03
2.6300000000e+00 -6.3080138054e-06 2.0558455824e-04 6.3813574355e-02 -1.0317097080e-03
2.6375000000e+00 -9.1245464863e-06 2.1569093257e-04 6.3730401535e-02 -1.2026342315e-03
2.6450000000e+00 -1.1890878449e-05 2.2718838146e-04 6.3788172894e-02 -1.0556797880e-03
2.6525000000e+00 -1.3734635251e-05 2.3789676364e-04 6.3712629884e-02 -1.2321466058e-03
2.6600000000e+00 -1.7437648113e-05 2.4815131810e-04 6.3762005223e-02 -1.0810500226e-03
2.6675000000e+00 -1.9120727713e-05 2.5961026101e-04 6.3693037511e-02 -1.2603811097e-03
2.6750000000e+00 -2.2431833597e-05 2.6970961564e-04 6.3740628784e-02 -1.1106841329e-03
2.6825000000e+00 -2.4939374870e-05 2.8060749921e-04 6.3669052100e-02 -1.2859913503e-03
2.6900000000e+00 -2.7447805028e-05 2.9138451073e-04 6.3723318065e-02 -1.1438675577e-03
2.6975000000e+00 -3.0561904303e-05 3.0151124993e-04 6.3643490401e-02 -1.3115359579e-03
2.7050000000e+00 -3.2750523696e-05 3.1248398817e-04 6.3706196362e-02 -1.1773123304e-03
2.7125000000e+00 -3.5820560577e-05 3.2280382170e-04 6.3618859120e-02 -1.3396883654e-03
2.7200000000e+00 -3.8048324674e-05 3.3336476453e-04 6.3687926449e-02 -1.2091680203e-03
2.7275000000e+00 -4.0747647614e-05 3.4421414268e-04 6.3595441111e-02 -1.3714113243e-03
2.7350000000e+00 -4.2992734993e-05 3.5472070091e-04 6.3668616211e-02 -1.2391808620e-03
2.7425000000e+00 -4.5433930372e-05 3.6560531043e-04 6.3572204607e-02 -1.4062393978e-03
2.7500000000e+00 -4.7455253504e-05 3.7642820030e-04 6.3650016278e-02 -1.2689887300e-03
2.7575000000e+00 -4.9775987942e-05 3.8741761702e-04 6.3547181843e-02 -1.4414445465e-03
2.7650000000e+00 -5.1354909261e-05 3.9831517492e-04 6.3634092345e-02 -1.3022892583e-03
2.7725000000e+00 -5.3692070765e-05 4.0957139943e-04 6.3519287039e-02 -1.4736521424e-03
2.7800000000e+00 -5.4869284038e-05 4.2050247595e-04 6.3620185519e-02 -1.3402896080e-03
2.7875000000e+00 -5.6849525241e-05 4.3188005121e-04 6.3491462549e-02 -1.5048673304e-03
