# Time  F_D  F_L p_front p_back
1.0000000000e-01 -2.8992915403e-05 -1.3487049901e-05 2.4508347020e-02 2.2043424027e-02
2.0000000000e-01 -8.2094870088e-05 -4.1281989463e-05 7.2926949472e-02 6.5583563814e-02
3.0000000000e-01 -1.2591890833e-04 -7.0958134899e-05 1.1955946877e-01 1.0750183051e-01
4.0000000000e-01 -1.6094962667e-04 -1.0311600103e-04 1.6325626825e-01 1.4676768508e-01
5.0000000000e-01 -1.8701432637e-04 -1.3813735103e-04 2.0294131822e-01 1.8241577546e-01
6.0000000000e-01 -2.0372103193e-04 -1.7572317607e-04 2.3763807292e-01 2.1356967592e-01
7.0000000000e-01 -2.1061029700e-04 -2.1495652548e-04 2.6649332716e-01 2.3946329916e-01
8.0000000000e-01 -2.0724968370e-04 -2.5438734376e-04 2.8879804481e-01 2.5945954132e-01
9.0000000000e-01 -1.9334963924e-04 -2.9213433154e-04 3.0400458111e-01 2.7306561048e-01
1.0000000000e+00 -1.6890929234e-04 -3.2609754274e-04 3.1173987599e-01 2.7994459982e-01
1.1000000000e+00 -1.3437607879e-04 -3.5426126082e-04 3.1181432088e-01 2.7992353181e-01
1.2000000000e+00 -9.0789230917e-05 -3.7498542186e-04 3.0422613026e-01 2.7299895599e-01
1.3000000000e+00 -3.9854897739e-05 -3.8719335632e-04 2.8916119323e-01 2.5934044143e-01
1.4000000000e+00 1.6109837874e-05 -3.9042015520e-04 2.6698850867e-01 2.3928921975e-01
1.5000000000e+00 7.4392229496e-05 -3.8473733580e-04 2.3825136744e-01 2.1334804231e-01
1.6000000000e+00 1.3221645746e-04 -3.7059691966e-04 2.0365444646e-01 1.8216306469e-01
1.7000000000e+00 1.8709877787e-04 -3.4864627730e-04 1.6404699593e-01 1.4650375862e-01
1.8000000000e+00 2.3712555936e-04 -3.1956091156e-04 1.2040238218e-01 1.0724466827e-01
1.9000000000e+00 2.8108357893e-04 -2.8392951805e-04 7.3794377708e-02 6.5347196549e-02
2.0000000000e+00 -1.4210637936e-02 5.9704357389e-02 3.9460433970e-01 3.6970884586e-01
2.0075000000e+00 1.5291505302e-02 -6.0567871924e-02 -5.5944257860e-02 -6.9664133669e-02
2.0150000000e+00 -1.3757461027e-02 5.4053773516e-02 6.2209931054e-02 7.1448680860e-02
2.0225000000e+00 1.5227582494e-02 -5.9278056303e-02 -5.4514389657e-02 -6.8237608644e-02
2.0300000000e+00 -1.3592099362e-02 5.4279011371e-02 5.5977640571e-02 6.5870203853e-02
2.0375000000e+00 1.5021625957e-02 -5.6449101438e-02 -4.8451302056e-02 -6.2562640714e-02
2.0450000000e+00 -1.3385479617e-02 5.1048979385e-02 4.9558329544e-02 5.9968367369e-02
2.0525000000e+00 1.4975758287e-02 -5.4861070035e-02 -4.2680563564e-02 -5.7162735554e-02
2.0600000000e+00 -1.3467550229e-02 5.3198334227e-02 4.1361289516e-02 5.2351945574e-02
2.0675000000e+00 1.4596451809e-02 -5.6090115195e-02 -4.5714064639e-02 -5.8900182151e-02
2.0750000000e+00 -1.3287939452e-02 5.2933242325e-02 3.9920601906e-02 5.0658986060e-02
2.0825000000e+00 1.4628923072e-02 -5.5136485159e-02 -4.6200164721e-02 -5.9462568824e-02
2.0900000000e+00 -1.3444714481e-02 5.2915512538e-02 3.8110413037e-02 4.9691863232e-02
2.0975000000e+00 1.4595712215e-02 -5.4462531293e-02 -4.3857607758e-02 -5.7633710806e-02
2.1050000000e+00 -1.3388937117e-02 5.0885415275e-02 3.4528396451e-02 4.7243937591e-02
2.1125000000e+00 1.4246488422e-02 -5.2774026690e-02 -3.9497457817e-02 -5.3834336291e-02
2.1200000000e+00 -1.3223065995e-02 5.0226801231e-02 2.8353182484e-02 4.2143905315e-02
2.1275000000e+00 1.4244994584e-02 -5.1793155193e-02 -3.2003850750e-02 -4.6969296060e-02
2.1350000000e+00 -1.3197530381e-02 5.0431120066e-02 2.4829757953e-02 3.8909151009e-02
2.1425000000e+00 1.3929556708e-02 -5.2272770337e-02 -2.7040077400e-02 -4.1855145877e-02
2.1500000000e+00 -1.3103059029e-02 5.1635778993e-02 1.6388342033e-02 3.0836970624e-02
2.1575000000e+00 1.3847488403e-02 -5.1883103241e-02 -1.9111698089e-02 -3.4314421038e-02
2.1650000000e+00 -1.3080615486e-02 5.0547175072e-02 1.2569200204e-02 2.6928339314e-02
