# Time  u_x_TE  u_y_TE
1.0000000000e-01 1.9662874438e-09 -1.7931538412e-07
2.0000000000e-01 5.6772570430e-09 -7.1480689511e-07
3.0000000000e-01 8.9775156886e-09 -1.4878498160e-06
4.0000000000e-01 1.2013423738e-08 -2.2637372110e-06
5.0000000000e-01 1.4945407915e-08 -2.8490083053e-06
6.0000000000e-01 1.7821767295e-08 -3.1336218307e-06
7.0000000000e-01 2.0636409028e-08 -3.0639727793e-06
8.0000000000e-01 2.3383801953e-08 -2.6035003384e-06
9.0000000000e-01 2.6073819301e-08 -1.7164358294e-06
1.0000000000e+00 2.8709708366e-08 -3.7849305491e-07
1.1000000000e+00 3.1258367416e-08 1.4019779171e-06
1.2000000000e+00 3.3636573966e-08 3.5702866233e-06
1.3000000000e+00 3.5717771814e-08 6.0267610820e-06
1.4000000000e+00 3.7351891028e-08 8.6403175782e-06
1.5000000000e+00 3.8389441427e-08 1.1267066357e-05
1.6000000000e+00 3.8704299131e-08 1.3767814671e-05
1.7000000000e+00 3.8211588723e-08 1.6021002534e-05
1.8000000000e+00 3.6877079346e-08 1.7929512489e-05
1.9000000000e+00 3.4716180488e-08 1.9421729033e-05
2.0000000000e+00 4.2272533439e-08 1.9512084083e-05
2.0050000000e+00 5.3581555263e-08 1.9615309658e-05
2.0100000000e+00 4.7345004810e-08 1.9687949063e-05
2.0150000000e+00 2.8985401172e-08 1.9721422708e-05
2.0200000000e+00 2.4155994774e-08 1.9753492358e-05
2.0250000000e+00 3.3436761124e-08 1.9791421785e-05
2.0300000000e+00 3.7042197869e-08 1.9815682352e-05
2.0350000000e+00 2.9147884060e-08 1.9838674061e-05
2.0400000000e+00 1.4772716828e-08 1.9876026663e-05
2.0450000000e+00 3.5366501170e-09 1.9927650699e-05
2.0500000000e+00 8.0334160438e-09 2.0013617589e-05
2.0550000000e+00 2.8067541410e-08 2.0142117930e-05
2.0600000000e+00 4.2744943807e-08 2.0278765476e-05
2.0650000000e+00 3.9332316577e-08 2.0394298132e-05
2.0700000000e+00 3.2316050504e-08 2.0498107360e-05
2.0750000000e+00 3.3676214813e-08 2.0592131631e-05
2.0800000000e+00 3.8337701387e-08 2.0662130594e-05
2.0850000000e+00 4.6950295650e-08 2.0725755459e-05
2.0900000000e+00 4.7492747405e-08 2.0774719752e-05
2.0950000000e+00 2.8441998855e-08 2.0782336052e-05
2.1000000000e+00 1.2326848290e-08 2.0791287334e-05
2.1050000000e+00 1.1702449626e-08 2.0830068995e-05
2.1100000000e+00 1.7587959816e-08 2.0891024661e-05
2.1150000000e+00 2.6048767784e-08 2.0981954985e-05
2.1200000000e+00 2.9923822273e-08 2.1089406032e-05
2.1250000000e+00 2.6842992632e-08 2.1190605599e-05
2.1300000000e+00 2.4953451368e-08 2.1285319592e-05
2.1350000000e+00 3.4228370406e-08 2.1390550963e-05
2.1400000000e+00 4.8607327363e-08 2.1495124687e-05
2.1450000000e+00 5.1259146946e-08 2.1562337002e-05
2.1500000000e+00 4.5023117220e-08 2.1595749082e-05
2.1550000000e+00 3.6176707645e-08 2.1602273430e-05
2.1600000000e+00 2.3629699810e-08 2.1582382419e-05
2.1650000000e+00 2.0222964960e-08 2.1578980632e-05
2.1700000000e+00 2.6271655265e-08 2.1605417722e-05
2.1750000000e+00 2.4636023518e-08 2.1628531909e-05
2.1800000000e+00 1.9633860585e-08 2.1656465284e-05
