# Time  F_D  F_L p_front p_back
1.0000000000e-01 -3.8319698697e-05 -5.7697928546e-05 3.6765278261e-02 3.3059831587e-02
2.0000000000e-01 -1.0905640262e-04 -1.7319476401e-04 1.0939739210e-01 9.8360608497e-02
3.0000000000e-01 -1.6843100802e-04 -2.8605686361e-04 1.7934846275e-01 1.6123143028e-01
4.0000000000e-01 -2.1667180018e-04 -3.9068907029e-04 2.4489531267e-01 2.2012709935e-01
5.0000000000e-01 -2.5304577348e-04 -4.8167178214e-04 3.0442527927e-01 2.7359958158e-01
6.0000000000e-01 -2.7632340015e-04 -5.5384402000e-04 3.5647532955e-01 3.2033388200e-01
7.0000000000e-01 -2.8502264941e-04 -6.0230738276e-04 3.9976769467e-01 3.5918002917e-01
8.0000000000e-01 -2.7770592907e-04 -6.2255087183e-04 4.3324081729e-01 3.8918014700e-01
9.0000000000e-01 -2.5333908666e-04 -6.1101916604e-04 4.5607482102e-01 4.0958995028e-01
1.0000000000e+00 -2.1174016676e-04 -5.6591829150e-04 4.6771083377e-01 4.1989707601e-01
1.1000000000e+00 -1.5410300312e-04 -4.8781495906e-04 4.6786371842e-01 4.1984144637e-01
1.2000000000e+00 -8.3399556026e-05 -3.7975040123e-04 4.5652821015e-01 4.0943325560e-01
1.3000000000e+00 -4.3275736059e-06 -2.4685832340e-04 4.3397885924e-01 3.8894993782e-01
1.4000000000e+00 7.7392949763e-05 -9.5633607382e-05 4.0076413704e-01 3.5891078412e-01
1.5000000000e+00 1.5624002609e-04 6.6937346937e-05 3.5769467361e-01 3.2005455976e-01
1.6000000000e+00 2.2819654738e-04 2.3415539710e-04 3.0582526688e-01 2.7332852892e-01
1.7000000000e+00 2.9157190471e-04 4.0009587375e-04 2.4643027412e-01 2.1987403880e-01
1.8000000000e+00 3.4686545585e-04 5.5967968061e-04 1.8097231469e-01 1.6100113706e-01
1.9000000000e+00 3.9574470923e-04 7.0846130366e-04 1.1106515138e-01 9.8155640081e-02
2.0000000000e+00 -4.0103312723e-04 -1.4208123275e-04 7.3679348153e-01 6.6114434303e-01
2.0050000000e+00 5.5738341536e-04 8.4220237659e-04 1.7498699304e-03 -2.5804384432e-04
2.0100000000e+00 5.4319126851e-04 8.3654508606e-04 1.7261927872e-03 -2.4328052838e-04
2.0150000000e+00 5.3771291524e-04 8.2203381230e-04 1.7223314552e-03 -2.3477650016e-04
2.0200000000e+00 5.3155708431e-04 8.4649649987e-04 1.7151459377e-03 -2.2564487920e-04
2.0250000000e+00 5.2212150749e-04 8.6341499144e-04 1.7094324912e-03 -2.1935607530e-04
2.0300000000e+00 5.1839061933e-04 8.7720598736e-04 1.7053606000e-03 -2.1863531701e-04
2.0350000000e+00 5.1466379781e-04 9.2811233729e-04 1.7067851042e-03 -2.1125742008e-04
2.0400000000e+00 5.0641338765e-04 9.4614731928e-04 1.6979757513e-03 -2.0679880324e-04
2.0450000000e+00 4.9862048147e-04 9.4063115384e-04 1.6940458367e-03 -1.9694032207e-04
2.0500000000e+00 4.9605716709e-04 9.5480016896e-04 1.6884387652e-03 -1.9549376581e-04
2.0550000000e+00 4.9804095420e-04 9.2625544319e-04 1.6944187732e-03 -1.9350230410e-04
2.0600000000e+00 4.9535651217e-04 9.0398797476e-04 1.6843440419e-03 -2.0087368908e-04
2.0650000000e+00 4.9692409261e-04 9.0077868942e-04 1.6911743050e-03 -1.9646267122e-04
