# Time  v_x_wake  v_y_wake
4.7790000000e+01 1.0121030749e-01 -5.4154185917e-03
4.7795000000e+01 1.0122691645e-01 -5.4163883737e-03
4.7800000000e+01 1.0124318914e-01 -5.4174153888e-03
4.7805000000e+01 1.0125951704e-01 -5.4179811531e-03
4.7810000000e+01 1.0127548859e-01 -5.4187859027e-03
4.7815000000e+01 1.0129185180e-01 -5.4190737408e-03
4.7820000000e+01 1.0130775020e-01 -5.4196106831e-03
4.7825000000e+01 1.0132433709e-01 -5.4195893470e-03
4.7830000000e+01 1.0134034339e-01 -5.4198636174e-03
4.7835000000e+01 1.0135728850e-01 -5.4194284372e-03
4.7840000000e+01 1.0137351558e-01 -5.4193688806e-03
4.7845000000e+01 1.0139086537e-01 -5.4184212997e-03
4.7850000000e+01 1.0140730388e-01 -5.4179425104e-03
4.7855000000e+01 1.0142498615e-01 -5.4164391925e-03
4.7860000000e+01 1.0144156583e-01 -5.4155136708e-03
4.7865000000e+01 1.0145953799e-01 -5.4134770759e-03
4.7870000000e+01 1.0147616408e-01 -5.4120847678e-03
4.7875000000e+01 1.0149431811e-01 -5.4094976606e-03
4.7880000000e+01 1.0151087651e-01 -5.4076791019e-03
4.7885000000e+01 1.0152906520e-01 -5.4045482859e-03
4.7890000000e+01 1.0154546584e-01 -5.4022853008e-03
4.7895000000e+01 1.0156363479e-01 -5.3986388307e-03
4.7900000000e+01 1.0157982176e-01 -5.3959077507e-03
4.7905000000e+01 1.0159790172e-01 -5.3917278216e-03
4.7910000000e+01 1.0161380936e-01 -5.3885739796e-03
4.7915000000e+01 1.0163177444e-01 -5.3839061205e-03
4.7920000000e+01 1.0164738441e-01 -5.3803296115e-03
4.7925000000e+01 1.0166526564e-01 -5.3752402477e-03
4.7930000000e+01 1.0168061747e-01 -5.3713017542e-03
4.7935000000e+01 1.0169838240e-01 -5.3658085828e-03
4.7940000000e+01 1.0171348015e-01 -5.3615819872e-03
4.7945000000e+01 1.0173113439e-01 -5.3556773213e-03
4.7950000000e+01 1.0174599541e-01 -5.3511475287e-03
4.7955000000e+01 1.0176357182e-01 -5.3447987146e-03
4.7960000000e+01 1.0177819950e-01 -5.3399214229e-03
4.7965000000e+01 1.0179567837e-01 -5.3331274213e-03
4.7970000000e+01 1.0181002863e-01 -5.3278112176e-03
4.7975000000e+01 1.0182740305e-01 -5.3205424813e-03
4.7980000000e+01 1.0184150341e-01 -5.3147994607e-03
4.7985000000e+01 1.0185875771e-01 -5.3070144647e-03
4.7990000000e+01 1.0187260656e-01 -5.3009204627e-03
4.7995000000e+01 1.0188971623e-01 -5.2926885263e-03
4.8000000000e+01 1.0190326045e-01 -5.2862137739e-03
4.8005000000e+01 1.0192023520e-01 -5.2776100907e-03
4.8010000000e+01 1.0193349519e-01 -5.2707820178e-03
4.8015000000e+01 1.0195032331e-01 -5.2618114557e-03
4.8020000000e+01 1.0196328277e-01 -5.2546686795e-03
4.8025000000e+01 1.0197992271e-01 -5.2452700582e-03
4.8030000000e+01 1.0199255949e-01 -5.2377791240e-03
4.8035000000e+01 1.0200900603e-01 -5.2278992316e-03
4.8040000000e+01 1.0202133808e-01 -5.2200334437e-03
4.8045000000e+01 1.0203760412e-01 -5.2097195899e-03
4.8050000000e+01 1.0204958848e-01 -5.2014335559e-03
4.8055000000e+01 1.0206565120e-01 -5.1906870712e-03
4.8060000000e+01 1.0207730002e-01 -5.1820411222e-03
4.8065000000e+01 1.0209314972e-01 -5.1708475693e-03
4.8070000000e+01 1.0210450204e-01 -5.1619318175e-03
4.8075000000e+01 1.0212014091e-01 -5.1503575832e-03
4.8080000000e+01 1.0213115235e-01 -5.1411175254e-03
4.8085000000e+01 1.0214656363e-01 -5.1291775491e-03
4.8090000000e+01 1.0215722576e-01 -5.1195846618e-03
4.8095000000e+01 1.0217242963e-01 -5.1072741376e-03
4.8100000000e+01 1.0218274104e-01 -5.0973266906e-03
4.8105000000e+01 1.0219772582e-01 -5.0846160599e-03
4.8110000000e+01 1.0220766508e-01 -5.0743003719e-03
4.8115000000e+01 1.0222238671e-01 -5.0611593983e-03
4.8120000000e+01 1.0223198086e-01 -5.0505245019e-03
4.8125000000e+01 1.0224646497e-01 -5.0370322292e-03
4.8130000000e+01 1.0225571180e-01 -5.0261121820e-03
4.8135000000e+01 1.0226995098e-01 -5.0122902938e-03
4.8140000000e+01 1.0227882864e-01 -5.0011232711e-03
4.8145000000e+01 1.0229280216e-01 -4.9869661756e-03
4.8150000000e+01 1.0230132401e-01 -4.9755657197e-03
4.8155000000e+01 1.0231505330e-01 -4.9611040708e-03
4.8160000000e+01 1.0232321260e-01 -4.9494079256e-03
4.8165000000e+01 1.0233665329e-01 -4.9345721784e-03
4.8170000000e+01 1.0234442847e-01 -4.9225619611e-03
4.8175000000e+01 1.0235757021e-01 -4.9073341135e-03
4.8180000000e+01 1.0236495609e-01 -4.8950089148e-03
4.8185000000e+01 1.0237782583e-01 -4.8794379985e-03
4.8190000000e+01 1.0238480861e-01 -4.8667961119e-03
4.8195000000e+01 1.0239736133e-01 -4.8509083212e-03
4.8200000000e+01 1.0240392680e-01 -4.8380087182e-03
4.8205000000e+01 1.0241615930e-01 -4.8218627336e-03
4.8210000000e+01 1.0242231827e-01 -4.8087620706e-03
4.8215000000e+01 1.0243422971e-01 -4.7923398114e-03
4.8220000000e+01 1.0243996331e-01 -4.7790458256e-03
4.8225000000e+01 1.0245151430e-01 -4.7623341186e-03
4.8230000000e+01 1.0245678431e-01 -4.7488024883e-03
4.8235000000e+01 1.0246798711e-01 -4.7318373063e-03
4.8240000000e+01 1.0247281022e-01 -4.7180523822e-03
4.8245000000e+01 1.0248364002e-01 -4.7007833077e-03
4.8250000000e+01 1.0248801520e-01 -4.6868097344e-03
